mmsi,label,label_score,type,type_score
725000261,Longliner,0.977560937,30,1
367628440,Longliner,0.745289028,37,1
273815050,Longliner,0.53921926,79,1
540002200,Longliner,0.874005792,30,1
701000764,Longliner,0.626402378,30,0.986814998
251498240,Longliner,0.599525988,30,1
211481051,Longliner,0.752286553,30,1
367578250,Longliner,0.768891811,37,1
441864000,Longliner,0.999559104,30,1
412420871,Longliner,0.999985933,80,1
431105000,Longliner,0.987148106,30,1
235069725,Longliner,0.540867746,30,1
520171000,Longliner,0.99998374,30,1
431704110,Longliner,0.986350358,37,1
701027000,Longliner,0.658832312,30,1
227579000,Longliner,0.615811944,30,1
576902000,Longliner,0.525099993,65,0.333333333
247149410,Longliner,0.512951675,30,1
257225000,Longliner,0.635412362,30,0.99980012
416001414,Longliner,0.999982727,30,1
224154000,Longliner,0.983577114,30,1
440122190,Longliner,0.588970065,30,1
228827000,Longliner,0.526975513,30,1
412985000,Longliner,0.999974608,30,1
416003756,Longliner,0.999990582,30,1
367016310,Longliner,0.664353609,72,0.541343669
273810800,Longliner,0.967638612,30,0.558102345
310614000,Longliner,0.790322661,91,0.978364389
372698000,Longliner,0.868555605,99,0.999876976
225378000,Longliner,0.849985659,30,1
245369000,Longliner,0.759623051,30,0.999957349
251243240,Longliner,0.626698315,30,1
701000880,Longliner,0.9946931,30,1
225980581,Longliner,0.50707972,30,1
601126000,Longliner,0.678280592,30,1
416002061,Longliner,0.999435961,30,1
227314010,Longliner,0.529594362,30,1
231180000,Longliner,0.893802643,30,1
983191061,Longliner,0.930011094,37,1
525015964,Longliner,0.51827848,60,1
306589000,Longliner,0.638239741,70,1
432228000,Longliner,0.993950927,30,1
416016872,Longliner,0.5862872,30,1
416222700,Longliner,0.999717799,30,1
239236000,Longliner,0.572800338,30,1
338100000,Longliner,0.52448225,90,1
416004565,Longliner,0.999998808,30,1
431802000,Longliner,0.996150503,30,1
367075080,Longliner,0.547238767,30,1
416002900,Longliner,0.999998093,30,1
671659000,Trawler,0.722415805,70,1
457900169,Trawler,0.558595598,70,0.999339061
246161000,Trawler,0.999821126,30,1
413784172,Trawler,0.510610878,70,1
413806188,Trawler,0.983315885,70,0.990769231
412460726,Trawler,0.685522616,30,1
412201709,Trawler,0.806635797,30,1
650107000,Trawler,0.842120647,20,1
413763254,Trawler,0.929026663,70,1
